"Name","Description","GitHub","Stars","Watchers","Forks","DOI","Journal","Year","Altmetrics","ImpactFactor"
"HiC-Pro","HiC-Pro: An optimized and flexible pipeline for Hi-C data processing","https://github.com/nservant/HiC-Pro",94,23,64,"10.1186/s13059-015-0831-x","Genome Biology","2014","11.05",13.214
"ballgown","Bioconductor package ""ballgown"", devel version. Isoform-level differential expression analysis in R.","https://github.com/alyssafrazee/ballgown",93,23,50,"10.1038/nbt.3172","Nature Biotechnology","2015","48.008",35.724
"stringtie","Transcript assembly and quantification for RNA-Seq","https://github.com/gpertea/stringtie",83,19,25,"10.1038/nprot.2016.095","Nature Protocols","2016","81.046",12.423
"scLVM","scLVM is a modelling framework for single-cell RNA-seq data that can be used to dissect the observed heterogeneity into different sources, thereby allowing for the correction of confounding sources of variation.","https://github.com/PMBio/scLVM",82,23,39,"10.1038/nbt.3102","Nature Biotechnology","2015","174.716",35.724
"CNVnator","a tool for CNV discovery and genotyping from depth-of-coverage by mapped reads","https://github.com/abyzovlab/CNVnator",71,11,28,"10.1101/gr.114876.110","Genome Research","2011","27.836",10.101
"SIMLR","Implementations both in R and Matlab of SIMLR (https://www.nature.com/articles/nmeth.4207) and CIMLR (https://www.biorxiv.org/content/early/2018/02/16/267245) Multi-kernel LeaRning methods. ","https://github.com/BatzoglouLabSU/SIMLR",63,18,35,"10.1038/nmeth.4207","Nature Methods","2017","47.95",26.919
"SnpEff","","https://github.com/pcingola/SnpEff",63,23,39,"10.4161/fly.19695","Fly","2014","9.5",1.218
"sciclone","An R package for inferring the subclonal architecture of tumors","https://github.com/genome/sciclone",60,48,33,"10.1371/journal.pcbi.1003665","PLoS Computational Biology","2014","32.612",3.955
"ZIFA","Zero-inflated dimensionality reduction algorithm for single-cell data","https://github.com/epierson9/ZIFA",59,8,22,"10.1186/s13059-015-0805-z","Genome Biology","2014","41.926",13.214
"MAST","Tools and methods for analysis of single cell assay data in R","https://github.com/RGLab/MAST",57,9,26,"10.1186/s13059-015-0844-5","Genome Biology","2014","39.906",13.214
"clonevol","Inferring and visualizing clonal evolution in multi-sample cancer sequencing","https://github.com/hdng/clonevol",55,8,24,"10.1093/annonc/mdx517","Annals of Oncology","2017","15.65",13.926
"clonevol","Inferring and visualizing clonal evolution in multi-sample cancer sequencing","https://github.com/hdng/clonevol",55,8,24,"10.1093/annonc/mdx517","Annals of Oncology","2017","15.65",13.926
"clonevol","Inferring and visualizing clonal evolution in multi-sample cancer sequencing","https://github.com/hdng/clonevol",55,8,24,"10.1093/annonc/mdx517","Annals of Oncology","2017","15.65",13.926
"clonevol","Inferring and visualizing clonal evolution in multi-sample cancer sequencing","https://github.com/hdng/clonevol",55,8,24,"10.1093/annonc/mdx517","Annals of Oncology","2017","15.65",13.926
"htseq","HTSeq is a Python library to facilitate processing and analysis of data from  high-throughput sequencing (HTS) experiments.","https://github.com/simon-anders/htseq",54,9,34,"10.1093/bioinformatics/btu638","Bioinformatics","2014","55.346",5.481
"circlator","A tool to circularize genome assemblies","https://github.com/sanger-pathogens/circlator",53,16,18,"10.1186/s13059-015-0849-0","Genome Biology","2014","51.208",13.214
"Artemis","Artemis is a free genome viewer and annotation tool that allows visualization of sequence features and the results of analyses within the context of the sequence, and its six-frame translation","https://github.com/sanger-pathogens/Artemis",52,12,29,"10.1093/bioinformatics/btr703","Bioinformatics","2011","26.334",5.481
"svtyper","Bayesian genotyper for structural variants","https://github.com/hall-lab/svtyper",52,10,24,"10.1038/nmeth.3505","Nature Methods","2015","155.138",26.919
"TADbit","TADbit is a complete Python library to deal with all steps to analyze, model and explore 3C-based data. With TADbit the user can map FASTQ files to obtain raw interaction binned matrices (Hi-C like matrices), normalize and correct interaction matrices, identify and compare the so-called Topologically Associating Domains (TADs), build 3D models from the interaction matrices, and finally, extract structural properties from the models. TADbit is complemented by TADkit for visualizing 3D models","https://github.com/3DGenomes/TADbit",51,15,47,"10.1371/journal.pcbi.1005665","PLoS Computational Biology","2017","19.25",3.955
"PhenoGraph","Subpopulation detection in high-dimensional single-cell data","https://github.com/jacoblevine/PhenoGraph",51,7,26,"10.1016/j.cell.2015.05.047","Cell","2015","32.588",31.398
"methylKit","R package for DNA methylation analysis","https://github.com/al2na/methylKit",51,15,61,"10.1186/gb-2012-13-10-r87","Genome Biology","2012","23.6",13.214
"weblogo","WebLogo 3: Sequence Logos redrawn","https://github.com/WebLogo/weblogo",50,10,20,"10.1101/gr.849004","Genome Research","2004","9.5",10.101
"GenomicDataCommons","Provide R access to the NCI Genomic Data Commons portal.","https://github.com/Bioconductor/GenomicDataCommons",44,17,16,"10.1158/0008-5472.can-17-0598","Cancer Research","2017","7.35",9.13
"HiCExplorer","HiCExplorer is a powerful and easy to use set of tools to process, normalize and visualize Hi-C data.","https://github.com/deeptools/HiCExplorer",40,13,20,"10.1093/nar/gky504","Nucleic Acids Research","2018","31.35",11.561
"pagoda2","R package for analyzing and interactively exploring large single-cell RNA-seq datasets","https://github.com/hms-dbmi/pagoda2",39,17,8,"10.1038/nmeth.2967","Nature Methods","2014","21.6",26.919
"SV2","Support Vector Structural Variation Genotyper","https://github.com/dantaki/SV2",39,5,5,"10.1093/bioinformatics/btx813","Bioinformatics","2017","7.75",5.481
"CIDR","Clustering through Imputation and Dimensionality Reduction","https://github.com/VCCRI/CIDR",36,9,10,"10.1186/s13059-017-1188-0","Genome Biology","2017","13.8",13.214
"Damage-estimator","Estimate damage in standard NGS library preparation. Incompatible with library preparation methods from which the imbalance is lost (such as transposon based methods and Ultra II FS library preparation from NEB). ","https://github.com/Ettwiller/Damage-estimator",36,6,8,"10.1126/science.aai8690","Science","2017","807.358",41.058
"SCENIC","SCENIC is an R package to infer Gene Regulatory Networks and cell types from single-cell RNA-seq data.","https://github.com/aertslab/SCENIC",35,12,16,"10.1038/nmeth.4463","Nature Methods","2017","61.46",26.919
"DESeq2","Differential gene expression analysis based on the negative binomial distribution","https://github.com/mikelove/DESeq2",34,7,9,"10.1186/s13059-014-0550-8","Genome Biology","2014","44.354",13.214
"Juicebox","Visualization and analysis software for Hi-C data - ","https://github.com/theaidenlab/Juicebox",34,21,13,"10.1016/j.cels.2016.07.002","Cell Systems","2016","544.65",8.982
"BISCUIT_SingleCell_IMM_ICML_2016","R Codebase for BISCUIT: Infinite Mixture Model to cluster and impute single cells.","https://github.com/sandhya212/BISCUIT_SingleCell_IMM_ICML_2016",30,15,13,"10.1016/j.cell.2018.05.060","Cell","2018","233.05",31.398
"scDD","R package to identify genes with differential distributions in single-cell RNA-seq","https://github.com/kdkorthauer/scDD",24,4,8,"10.1186/s13059-016-1077-y","Genome Biology","2016","32.596",13.214
"2020plus","Classifies genes as an oncogene, tumor suppressor gene, or as a non-driver gene by using Random Forests","https://github.com/KarchinLab/2020plus",21,12,14,"10.1073/pnas.1616440113","Proceedings of the National Academy of Sciences of the United States of America","2016","75.67",9.504
"tree-hmm","Tree hidden Markov model for learning epigenetic states in multiple cell types","https://github.com/uci-cbcl/tree-hmm",18,6,8,"10.1186/1471-2105-14-s5-s4","BMC Bioinformatics","2013","1.5",2.213
"hic-bench","A set of pipelines for Hi-C and ChIP-Seq analysis.","https://github.com/NYU-BFX/hic-bench",14,11,9,"10.1186/s12864-016-3387-6","BMC Genomics","2017","4.6",3.73
"SPRING_dev","","https://github.com/AllonKleinLab/SPRING_dev",13,5,5,"10.1093/bioinformatics/btx792","Bioinformatics","2017","1.5",5.481
"seqc","Single-Cell Sequencing Quality Control and Processing Software","https://github.com/ambrosejcarr/seqc",13,17,3,"10.1016/j.cell.2018.05.060","Cell","2018","233.05",31.398
