Title,CiteScore
Reports on Progress in Physics,14.13
Annual Review of Physiology,14.09
Cell Stem Cell,14.07
Nature Immunology,14.05
Journal of the American Chemical Society,14.05
Nature Cell Biology,14.01
Studies in Mycology,14
Annual Review of Entomology,13.93
Annual Review of Medicine,13.67
Foundations and Trends in Theoretical Computer Science,13.67
Nature Reviews Neuroscience,13.65
Progress in Neurobiology,13.59
Wiley Interdisciplinary Reviews: Computational Molecular Science,13.58
Cell Metabolism,13.45
Nature Reviews Microbiology,13.39
Light: Science and Applications,13.36
Energy Storage Materials,13.31
Nano Today,13.26
Academy of Management Annals,13.22
"Nanotechnology, Science and Applications",13.12
Nano Energy,13.08
Nano Letters,13.07
Nature Methods,13.07
Annual Review of Pharmacology and Toxicology,13.01
Annual Review of Biomedical Engineering,12.96
Nature Biotechnology,12.94
"Annual Review of Ecology, Evolution, and Systematics",12.9
Acta Crystallographica Section A: Foundations and Advances,12.82
International Materials Reviews,12.81
IEEE Transactions on Pattern Analysis and Machine Intelligence,12.75
FEMS Microbiology Reviews,12.68
Advanced Drug Delivery Reviews,12.66
Genome Biology,12.66
Coordination Chemistry Reviews,12.65
Endocrine Reviews,12.51
Advanced Functional Materials,12.51
Nature Communications,12.41
Trends in Biochemical Sciences,12.38
Materials Horizons,12.33
International Journal of Computer Vision,12.26
Molecular Cell,12.08
Biotechnology Advances,12.05
Annual Review of Public Health,12.04
IEEE Transactions on Evolutionary Computation,11.92
Acta Neuropathologica,11.82
Progress in Retinal and Eye Research,11.8
Annual Review of Biophysics,11.78
Applied Physics Reviews,11.75
Annual Review of Microbiology,11.7
Proceedings of the IEEE International Conference on Computer Vision,11.67
Genome Research,11.65
Annual Review of Phytopathology,11.64
Cell Host and Microbe,11.62
Nature Physics,11.58
ACM Computing Surveys,11.53
Fungal Diversity,11.49
ACS Catalysis,11.49
Physical Review X,11.47
Drug Resistance Updates,11.44
Angewandte Chemie - International Edition,11.31
Neuron,11.16
Liver Cancer,11.14
Journal of Pineal Research,11.09
IEEE Communications Magazine,11.06
Science advances,11.06
Nature Protocols,10.98
Applied Catalysis B: Environmental,10.92
Foundations and Trends in Machine Learning,10.9
Bone Research,10.85
Nucleic Acids Research,10.84
Trends in Immunology,10.82
Personality and Social Psychology Review,10.75
Journal of Clinical Investigation,10.73
Nature Climate Change,10.71
Progress in Quantum Electronics,10.7
Quarterly Journal of Economics,10.67
Progress in Particle and Nuclear Physics,10.67
Pharmacology and Therapeutics,10.63
Clinical Psychology Review,10.56
Renewable and Sustainable Energy Reviews,10.54
IEEE Internet of Things Journal,10.53
Journal of Clinical Oncology,10.51
Annual Review of Genetics,10.43
Human Reproduction Update,10.37
Analytic Methods in Accident Research,10.36
Trends in Ecology and Evolution,10.35
The Lancet Oncology,10.35
Trends in Neurosciences,10.29
Trends in Cognitive Sciences,10.24
ACS Energy Letters,10.24
Advanced Science,10.19
Perspectives in Medicinal Chemistry,10.18
SoftwareX,10.13
Nature Chemical Biology,10.12
Living Reviews in Solar Physics,10.12
Annual review of food science and technology,10.11
Applied Materials Today,9.9
Natural Product Reports,9.84
Gut,9.82
Foundations and Trends in Information Retrieval,9.8
Ecology Letters,9.78
Alzheimer's and Dementia,9.78
Annual Review of Genomics and Human Genetics,9.77
Acta Numerica,9.76
Cold Spring Harbor perspectives in biology,9.76
Chemistry of Materials,9.74
Trends in Biotechnology,9.69
Foundations and Trends in Communications and Information Theory,9.67
Nature Reviews Drug Discovery,9.65
Progress in Lipid Research,9.64
IEEE Transactions on Fuzzy Systems,9.62
National health statistics reports,9.61
Journal of Materials Chemistry A,9.61
Trends in Pharmacological Sciences,9.58
Nature Structural and Molecular Biology,9.53
Progress in Surface Science,9.52
Trends in Genetics,9.51
ISME Journal,9.5
Circulation Research,9.48
Annual Review of Nutrition,9.45
Medicinal Research Reviews,9.45
Microbiome,9.43
Immunological Reviews,9.4
The Lancet Neurology,9.39
Journal of Experimental Medicine,9.39
Genes and Development,9.36
Biological Reviews,9.32
IEEE Journal on Selected Areas in Communications,9.31
IEEE Transactions on Cybernetics,9.31
IEEE Wireless Communications,9.3
Seminars in Cancer Biology,9.23
Biomaterials,9.21
Current Opinion in Cell Biology,9.19
Trends in Molecular Medicine,9.13
Global Change Biology,9.12
IEEE Transactions on Power Electronics,9.08
IEEE Transactions on Industrial Electronics,9.07
Optica,9.05
Proceedings of the IEEE,9.03
Laser and Photonics Reviews,9.02
IEEE Transactions on Smart Grid,9.02
Green Chemistry,8.99
Annals of Oncology,8.97
Small,8.97
IEEE Transactions on Neural Networks and Learning Systems,8.96
Cancer immunology research,8.95
Neuroscience and Biobehavioral Reviews,8.92
Ecological Monographs,8.91
Nature Geoscience,8.88
Comprehensive Reviews in Food Science and Food Safety,8.87
Biochimica et Biophysica Acta - Reviews on Cancer,8.86
Molecular Psychiatry,8.86
Autoimmunity Reviews,8.85
Trends in Endocrinology and Metabolism,8.84
Frontiers in Neuroendocrinology,8.83
Trends in Plant Science,8.83
Journal of Business Venturing,8.82
Cancer Treatment Reviews,8.82
Annual Review of Earth and Planetary Sciences,8.81
Circulation,8.81
Cell Research,8.8
Nanoscale Horizons,8.79
"Vital and health statistics. Series 2, Data evaluation and methods research",8.75
npj Computational Materials,8.72
Ageing Research Reviews,8.71
Theranostics,8.7
European Heart Journal,8.66
Computer Science Review,8.66
Perspectives on Psychological Science,8.63
Annual Review of Sociology,8.61
The Lancet,8.6
Foundations and Trends in Human-Computer Interaction,8.6
Proceedings of the National Academy of Sciences of the United States of America,8.59
PLoS Medicine,8.59
EMBO Molecular Medicine,8.57
Persoonia: Molecular Phylogeny and Evolution of Fungi,8.56
Chemical Science,8.54
Journal of Big Data,8.51
Current Opinion in Biotechnology,8.45
ACM Transactions on Computer Systems,8.44
Applied Energy,8.44
Global Environmental Change,8.41
Review of Educational Research,8.4
Clinical Cancer Research,8.38
Journal of Marketing,8.37
IEEE Transactions on Industrial Informatics,8.37
Journal of Physical Chemistry Letters,8.37
American Journal of Human Genetics,8.34
MIS Quarterly: Management Information Systems,8.33
Annals of the Rheumatic Diseases,8.31
JAMA Psychiatry,8.28
Annual Review of Environment and Resources,8.27
Systematic Biology,8.27
Annual Review of Analytical Chemistry,8.26
Cell Reports,8.24
Epidemiologic Reviews,8.19
"Journal of Cachexia, Sarcopenia and Muscle",8.18
Earth System Science Data,8.18
Journal of Hepatology,8.17
Particle and Fibre Toxicology,8.15
ACS applied materials & interfaces,8.15
Advances in Experimental Social Psychology,8.13
Obesity Reviews,8.11
Science Translational Medicine,8.07
Molecular Systems Biology,8.06
Advances in Colloid and Interface Science,8.05
International Reviews in Physical Chemistry,8.04
Journal of Management,8.03
Earth-Science Reviews,8.03
Seminars in Immunology,8.01
Sleep Medicine Reviews,7.98
Trends in Microbiology,7.97
IEEE Signal Processing Magazine,7.96
Metabolic Engineering,7.95
Fish and Fisheries,7.94
IEEE Network,7.91
Journal of Controlled Release,7.9
Bioinformatics,7.84
Biosensors and Bioelectronics,7.83
Journal of Service Research,7.82
Nature Microbiology,7.82
Diabetes Care,7.81
Nano Research,7.8
Morbidity and Mortality Weekly Report,7.78
ISPRS Journal of Photogrammetry and Remote Sensing,7.76
Progress in Solid State Chemistry,7.73
TrAC - Trends in Analytical Chemistry,7.73
Additive Manufacturing,7.73
Molecular Biology and Evolution,7.65
Critical Reviews in Environmental Science and Technology,7.64
Annals of Neurology,7.62
Applied Mechanics Reviews,7.62
Mass Spectrometry Reviews,7.59
Academy of Management Review,7.59
Physical Review Letters,7.58
Nanoscale,7.57
SOIL,7.57
Neural Networks,7.56
Water Research,7.55
EMBO Journal,7.53
NCHS data brief,7.53
Journal of Autoimmunity,7.48
Automatica,7.45
Journal of Economic Perspectives,7.44
Academy of Management Journal,7.44
Brain,7.43
Current Opinion in Immunology,7.43
IEEE Transactions on Sustainable Energy,7.42
IEEE Reviews in Biomedical Engineering,7.4
Cancer Research,7.35
Plant Cell,7.33
BMC Medicine,7.32
Environmental International,7.32
JAMA - Journal of the American Medical Association,7.3
Journal of International Business Studies,7.27
"Astrophysical Journal, Supplement Series",7.26
Current Opinion in Plant Biology,7.25
Progress in Aerospace Sciences,7.25
Blood,7.24
Information Fusion,7.23
Current Protocols in Bioinformatics,7.23
Chem,7.23
Comprehensive Physiology,7.22
Aging Cell,7.21
Molecular Cancer,7.2
IEEE Transactions on Information Forensics and Security,7.2
Journal of the American Society of Nephrology : JASN,7.16
Remote Sensing of Environment,7.16
IEEE Industrial Electronics Magazine,7.15
Sustainable Materials and Technologies,7.14
Ultrasonography,7.14
Stem Cell Reports,7.13
NPG Asia Materials,7.12
Annual Review of Chemical and Biomolecular Engineering,7.12
Periodontology 2000,7.1
Soft Robotics,7.09
Polymer Reviews,7.08
Cell Death and Differentiation,7.07
Autophagy,7.07
Journal of Clinical Medicine,7.07
Journal of the American College of Cardiology,7.06
Bell Labs Technical Journal,7.05
Journal of Supply Chain Management,7.04
Blood Reviews,7.03
Nature Reviews Neurology,7.03
ACS Photonics,7.03
Current Opinion in Chemical Biology,7.02
Advances in Biological Regulation,7.02
Anthropocene Review,7.02
Chemical Engineering Journal,7.01
Journal of Power Sources,7
Journal of Catalysis,6.99
Advanced Optical Materials,6.99
Acta Biomaterialia,6.97
Biological Psychiatry,6.96
IEEE Journal on Selected Topics in Signal Processing,6.96
Gastroenterology,6.95
World Psychiatry,6.95
Journal of Allergy and Clinical Immunology,6.94
Journal of Membrane Science,6.93
European Urology,6.93
Sports Medicine,6.92
Hepatology,6.91
Tourism Management,6.9
eLife,6.88
ChemSusChem,6.86
Redox Biology,6.86
Journal of the Academy of Marketing Science,6.85
Energy Conversion and Management,6.85
Manufacturing Letters,6.83
Space Science Reviews,6.81
Journal of Finance,6.81
The Lancet Infectious Diseases,6.81
GigaScience,6.81
Materials Today,6.8
PLoS Biology,6.79
Developmental Cell,6.78
Carbon,6.76
Neuro-Oncology,6.76
IEEE Transactions on Image Processing,6.75
Journal of Hazardous Materials,6.75
Current Directions in Psychological Science,6.75
Molecular Neurodegeneration,6.75
Water Resources and Industry,6.74
User Modelling and User-Adapted Interaction,6.73
Methods in Ecology and Evolution,6.72
IEEE Journal of Emerging and Selected Topics in Power Electronics,6.72
Progress in Human Geography,6.71
Social Issues and Policy Review,6.7
Kidney International Supplements,6.69
Trends in Food Science and Technology,6.67
Psychological Review,6.65
Antioxidants and Redox Signaling,6.65
Educational Psychologist,6.65
New Phytologist,6.65
International Journal of Management Reviews,6.65
European Journal of Heart Failure,6.64
Mucosal Immunology,6.63
Journal of Toxicology and Environmental Health - Part B: Critical Reviews,6.61
Genome Medicine,6.61
IEEE Transactions on Medical Imaging,6.6
Molecular Ecology Resources,6.6
npj Quantum Information,6.6
Land Degradation and Development,6.59
Environmental Science & Technology,6.58
IEEE Transactions on Power Systems,6.58
Journal of Interactive Marketing,6.57
Nanophotonics,6.57
Progress in Nuclear Magnetic Resonance Spectroscopy,6.56
Catalysis Reviews - Science and Engineering,6.55
ACS Central Science,6.55
Bulletin of the American Meteorological Society,6.54
Journal of Cell Biology,6.52
Environmental Science: Nano,6.52
Journal of Materiomics,6.52
Plant Biotechnology Journal,6.51
Current Opinion in Solid State and Materials Science,6.5
Journal of Industrial Information Integration,6.5
Current Opinion in Structural Biology,6.49
Critical Reviews in Biochemistry and Molecular Biology,6.49
Current Opinion in Neurobiology,6.48
Harvard Educational Review,6.48
Computer Communication Review,6.48
Cellular and Molecular Life Sciences,6.48
Matrix Biology,6.47
Separation and Purification Reviews,6.47
Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology,6.47
IEEE Transactions on Affective Computing,6.47
Internet and Higher Education,6.46
Leukemia,6.45
ACS Sustainable Chemistry and Engineering,6.45
Advances in Immunology,6.44
Progress in Cardiovascular Diseases,6.44
Nature Reviews Clinical Oncology,6.44
Health systems in transition,6.44
IEEE Transactions on Wireless Communications,6.43
ACM Transactions on Graphics,6.42
Strategic Management Journal,6.42
Desalination,6.41
Neuropsychology Review,6.41
Research Policy,6.41
Global Ecology and Biogeography,6.41
Cytokine and Growth Factor Reviews,6.4
Journal of Personality and Social Psychology,6.4
International Journal of Cancer,6.4
Translational Stroke Research,6.38
Administrative Science Quarterly,6.36
Genetics in Medicine,6.36
Current Opinion in Colloid and Interface Science,6.36
Zeitschfrift fur Kristallographie,6.32
American Sociological Review,6.31
IEEE Transactions on Control of Network Systems,6.31
Annual Review of Virology,6.29
Bioresource Technology,6.28
Reviews in Environmental Science and Biotechnology,6.27
Cancer Letters,6.26
Molecular Aspects of Medicine,6.26
JAMA Oncology,6.26
Journal of Medicinal Chemistry,6.25
Analytical Chemistry,6.24
Allergy: European Journal of Allergy and Clinical Immunology,6.23
"Nanomedicine: Nanotechnology, Biology, and Medicine",6.21
Annual Review of Animal Biosciences,6.21
Advances in Wound Care,6.21
Oncogene,6.19
Gondwana Research,6.18
Acta Materialia,6.18
Journal of Hematology and Oncology,6.18
Psychological Science,6.17
Conservation Letters,6.17
Organic Letters,6.16
Materials Research Letters,6.16
Nutrition Reviews,6.15
NeuroImage,6.15
Journal of Operations Management,6.13
Landscape and Urban Planning,6.13
Journal of Economic Literature,6.12
Biofabrication,6.11
Big Data Research,6.1
IEEE Transactions on Cloud Computing,6.09
Cement and Concrete Research,6.08
mBio,6.08
Scientific data,6.08
Environmental Health Perspectives,6.07
IEEE Transactions on Robotics,6.07
Tissue Engineering - Part B: Reviews,6.07
Stem Cells and Cloning: Advances and Applications,6.07
"Diabetes, Obesity and Metabolism",6.06
International Journal of Robotics Research,6.06
Lab on a Chip - Miniaturisation for Chemistry and Biology,6.05
PLoS Pathogens,6.05
Educational Research Review,6.05
Molecular Metabolism,6.05
2D Materials,6.05
Advances in Cancer Research,6.03
Current Opinion in Microbiology,6.03
Chemical Communications,6.03
Wiley interdisciplinary reviews. RNA,6.03
ACS Macro Letters,6.03
Plant Journal,6.01
Plant Physiology,6.01
European Journal of Cancer,6.01
GLIA,6
Wildlife Monographs,6
BioRisk,6
American Journal of Sports Medicine,5.99
Nanotoxicology,5.99
Entrepreneurship Theory and Practice,5.98
Molecular and Cellular Proteomics,5.97
International Journal of Plasticity,5.97
British Journal of Pharmacology,5.97
Journal of Computer-Mediated Communication,5.97
Schizophrenia Bulletin,5.95
Health Psychology Review,5.94
Modern Pathology,5.93
Journal of Internal Medicine,5.93
Biotechnology for Biofuels,5.93
Alzheimer's Research and Therapy,5.93
International Journal of Machine Tools and Manufacture,5.92
Nano-Micro Letters,5.91
Ultrasonics Sonochemistry,5.9
IEEE Transactions on Automatic Control,5.9
Biomacromolecules,5.89
Journal of Neuroscience,5.89
IEEE Transactions on Control Systems Technology,5.89
Diabetes,5.89
Reviews in Mineralogy and Geochemistry,5.89
Computers and Education,5.88
Investigative Radiology,5.88
Journal of Bone and Mineral Research,5.87
Cerebral Cortex,5.87
Quarterly Reviews of Biophysics,5.87
Breast Cancer Research,5.86
Journal of Pathology,5.86
Macromolecules,5.86
Journal for ImmunoTherapy of Cancer,5.85
Journal of Applied Ecology,5.84
DNA Research,5.84
IEEE Transactions on Geoscience and Remote Sensing,5.84
Critical Reviews in Toxicology,5.83
Government Information Quarterly,5.82
"Brain, Behavior, and Immunity",5.82
International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS,5.82
Cancers,5.82
European Journal of Epidemiology,5.81
Journal of Cleaner Production,5.79
Organizational Research Methods,5.79
Journal of Financial Economics,5.79
Seminars in Cell and Developmental Biology,5.79
Therapeutic Advances in Medical Oncology,5.79
Journal of Experimental Botany,5.78
Critical Reviews in Solid State and Materials Sciences,5.78
International Journal of Information Management,5.78
Journal of Cell Death,5.78
Molecular Plant,5.77
Cells,5.77
Drug Discovery Today,5.76
British Journal of Cancer,5.75
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",5.75
Clinical Epidemiology,5.74
Neurobiology of Stress,5.73
Alcohol research : current reviews,5.72
Biomolecules,5.72
Journal of Ecology,5.71
Nature Plants,5.71
Developmental Review,5.7
Critical Reviews in Plant Sciences,5.7
Neuropsychopharmacology,5.7
Wiley Interdisciplinary Reviews: Climate Change,5.7
IEEE Transactions on Parallel and Distributed Systems,5.68
Omega,5.68
Free Radical Biology and Medicine,5.68
Medical Image Analysis,5.67
Molecular Ecology,5.67
Journal of Human Resources,5.67
"Sensors and Actuators, B: Chemical",5.67
Agronomy for Sustainable Development,5.67
The Lancet Diabetes and Endocrinology,5.67
Journal of Materials Chemistry C,5.67
Cement and Concrete Composites,5.66
Acta Pharmaceutica Sinica B,5.66
Thyroid,5.64
Biochimica et Biophysica Acta - Molecular Basis of Disease,5.64
IEEE Transactions on Signal Processing,5.64
International Journal of Behavioral Nutrition and Physical Activity,5.64
American Journal of Surgical Pathology,5.63
Soil Biology and Biochemistry,5.63
Proceedings of the Combustion Institute,5.63
American Journal of Clinical Nutrition,5.62
Nature reviews. Rheumatology,5.62
World Allergy Organization Journal,5.62
Frontiers in Immunology,5.62
Journal of Retailing,5.61
Energy,5.6
Frontiers in Environmental Science,5.6
Composites Science and Technology,5.59
Carbohydrate Polymers,5.58
Exercise Immunology Review,5.58
Personnel Psychology,5.58
Journal of Experimental and Clinical Cancer Research,5.57
Journal of Marketing Research,5.57
Development (Cambridge),5.57
PLoS Genetics,5.57
Geochemical Perspectives,5.57
Progress in Photovoltaics: Research and Applications,5.56
Annual Review of Nuclear and Particle Science,5.56
Therapeutic Advances in Chronic Disease,5.56
Business Strategy and the Environment,5.55
Molecular Therapy - Nucleic Acids,5.55
Radiology,5.54
Critical Reviews in Clinical Laboratory Sciences,5.54
Psychological Methods,5.53
Molecular Cancer Therapeutics,5.53
International Journal of Engineering Science,5.53
Philosophical Transactions of the Royal Society B: Biological Sciences,5.52
Stem Cells,5.52
Journal of Applied Psychology,5.51
American Journal of Psychiatry,5.51
Neuroscientist,5.5
Journal of Nanobiotechnology,5.49
Corporate Social Responsibility and Environmental Management,5.49
Neurotherapeutics,5.49
"Plant, Cell and Environment",5.48
Advances in Nutrition,5.47
Catalysis Science and Technology,5.47
Vehicular Communications,5.47
Journal of Neuroinflammation,5.46
Mutation Research - Reviews in Mutation Research,5.46
Journal of Medical Genetics,5.46
IEEE Transactions on Knowledge and Data Engineering,5.45
Supply Chain Management,5.45
Criminology,5.45
Aging and Disease,5.45
Atmospheric Chemistry and Physics,5.44
Molecular Therapy,5.44
Nature Reviews Endocrinology,5.44
Swarm and Evolutionary Computation,5.44
Cell Death and Disease,5.44
Clinical Epigenetics,5.44
Experimental and Molecular Medicine,5.43
International Journal of Production Economics,5.42
IEEE Transactions on Energy Conversion,5.42
Clinical Infectious Diseases,5.42
ACS Sensors,5.42
Composites Part B: Engineering,5.41
Journal of CO2 Utilization,5.41
Fuel,5.4
Archives of Computational Methods in Engineering,5.4
Current Opinion in Pharmacology,5.4
Cancer and Metastasis Reviews,5.4
American Journal of Political Science,5.4
Advances in Applied Microbiology,5.39
Seminars in Immunopathology,5.39
Renewable Energy,5.38
Mikrochimica Acta,5.38
European Research Studies Journal,5.38
IUCrJ,5.38
Automation in Construction,5.36
Metabolism: Clinical and Experimental,5.36
Wiley Interdisciplinary Reviews: Developmental Biology,5.36
Journal of Engineering Education,5.35
"Arteriosclerosis, Thrombosis, and Vascular Biology",5.35
Virtual and Physical Prototyping,5.35
Advances in Virus Research,5.34
Hypertension,5.34
Evolutionary Applications,5.34
IEEE Transactions on Circuits and Systems for Video Technology,5.32
Neurobiology of Disease,5.32
Journal of Heart and Lung Transplantation,5.32
Learning and Instruction,5.31
Review of Financial Studies,5.31
Human Molecular Genetics,5.31
Journal of Consulting and Clinical Psychology,5.31
"Resources, Conservation and Recycling",5.31
Physics of the Dark Universe,5.31
Advanced healthcare materials,5.31
Journal of Medical Engineering,5.3
Astronomy and Astrophysics Review,5.29
Combustion and Flame,5.27
Journal of Economic Growth,5.27
EMBO Reports,5.27
Current Biology,5.26
Movement Disorders,5.26
Food Hydrocolloids,5.25
Information Sciences,5.25
Journal of Chemical Theory and Computation,5.25
Biochimica et Biophysica Acta - Gene Regulatory Mechanisms,5.25
Reviews in Endocrine and Metabolic Disorders,5.24
IEEE Transactions on Multimedia,5.24
Information and Management,5.24
Molecular Autism,5.23
Expert Systems with Applications,5.22
Building and Environment,5.22
Cardiovascular Diabetology,5.21
Journal of Child Psychology and Psychiatry and Allied Disciplines,5.2
Functional Ecology,5.2
BMC Biology,5.2
Arthritis and Rheumatology,5.2
Human Brain Mapping,5.19
Osteoarthritis and Cartilage,5.19
Cardiovascular Research,5.19
Food Chemistry,5.19
IEEE Transactions on Software Engineering,5.18
Psychological Medicine,5.18
Journal of the National Cancer Institute,5.18
Transportation Research Part C: Emerging Technologies,5.17
American Economic Review,5.17
Molecular Oncology,5.17
Current environmental health reports,5.17
Materials and Design,5.16
European Respiratory Journal,5.16
Clinical Psychological Science,5.16
Cell Chemical Biology,5.16
Corrosion Science,5.15
Pediatrics,5.15
International Journal of Neural Systems,5.15
Endocrine-Related Cancer,5.15
Journal of Clinical Endocrinology and Metabolism,5.15
Critical Reviews in Food Science and Nutrition,5.15
Application of Clinical Genetics,5.15
International Journal of Coal Geology,5.14
IEEE Transactions on Intelligent Transportation Systems,5.14
Annals of Surgery,5.14
Stroke,5.14
Ophthalmology,5.14
IEEE Transactions on Neural Systems and Rehabilitation Engineering,5.14
JAMA Neurology,5.14
Conservation Biology,5.13
Global Biogeochemical Cycles,5.13
Current Opinion in Genetics and Development,5.13
Journal of Network and Computer Applications,5.13
Cellular and Molecular Immunology,5.13
Journal of Nuclear Medicine,5.12
Digest of Technical Papers - IEEE International Solid-State Circuits Conference,5.12
mSystems,5.12
Knowledge-Based Systems,5.11
American Journal of Respiratory and Critical Care Medicine,5.1
Diabetologia,5.09
Eurosurveillance,5.09
"Transportation Research, Series B: Methodological",5.09
Stem Cell Research and Therapy,5.09
Angiogenesis,5.08
Reviews in Physics,5.08
Journal of Cerebral Blood Flow and Metabolism,5.07
Journal of Management Studies,5.07
IEEE Transactions on Services Computing,5.07
Astrophysical Journal Letters,5.07
International Journal of Project Management,5.06
Depression and Anxiety,5.06
Journal of Organizational Behavior,5.06
Analytica Chimica Acta,5.06
Mechanical Systems and Signal Processing,5.05
IEEE Transactions on Communications,5.05
Journal of Climate,5.05
Journal of Dental Research,5.05
European Journal of Nuclear Medicine and Molecular Imaging,5.05
"Genomics, Proteomics and Bioinformatics",5.04
Epigenetics,5.04
Current Opinion in Virology,5.04
JAMA Cardiology,5.04
Journal of Communication,5.03
IEEE Journal of Solid-State Circuits,5.03
IEEE/ASME Transactions on Mechatronics,5.03
Journal of NeuroEngineering and Rehabilitation,5.03
Ecology,5.02
Materials Science and Engineering C,5.02
Clinical Reviews in Allergy and Immunology,5.02
Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids,5.02
Journal of Thoracic Oncology,5.02
Electrochimica Acta,5.01
"Journal of Neurology, Neurosurgery and Psychiatry",5.01
Econometrica,5.01
Advanced Synthesis and Catalysis,5.01
Current HIV/AIDS Reports,5.01
Epigenetics and Chromatin,5.01
GCB Bioenergy,5.01
Journal of Peasant Studies,5
Environmental Pollution,5
IEEE Transactions on Biomedical Engineering,5
Foundations and Trends in Databases,5
Journal of Artificial Intelligence and Soft Computing Research,5
Journals of Gerontology - Series A Biological Sciences and Medical Sciences,4.99
Science of the Total Environment,4.98
Polymer Chemistry,4.98
Cell Systems,4.98
Inorganic Chemistry Frontiers,4.98
Energy Policy,4.97
Computer-Aided Civil and Infrastructure Engineering,4.97
Journal of Neurotrauma,4.97
American Economic Journal: Applied Economics,4.97
Energy and Buildings,4.96
Educational Researcher,4.96
Developmental Cognitive Neuroscience,4.96
Photoacoustics,4.96
Biomaterials Science,4.96
World Journal of Diabetes,4.96
Carcinogenesis,4.95
Neurobiology of Aging,4.95
Pattern Recognition,4.95
Journal of Materials Chemistry B,4.95
Biochimica et Biophysica Acta - Molecular Cell Research,4.94
International Journal of Obesity,4.94
Waste Management,4.94
Clinical Science,4.94
IEEE Transactions on Mobile Computing,4.93
International Organization,4.93
Journal of Political Economy,4.93
Basic Research in Cardiology,4.93
The Lancet Respiratory Medicine,4.93
Infectious Disease Clinics of North America,4.92
Composites - Part A: Applied Science and Manufacturing,4.92
Journal of Travel Research,4.92
Expert Opinion on Drug Delivery,4.92
Chemistry - A European Journal,4.9
Journal of Molecular and Cellular Cardiology,4.9
mAbs,4.9
Solar Energy,4.89
Critical Reviews in Biotechnology,4.89
Energy Research and Social Science,4.89
Trends in Parasitology,4.88
ACM Transactions on Intelligent Systems and Technology,4.88
Cold Spring Harbor perspectives in medicine,4.88
Vaccines,4.88
Photonics Research,4.88
Journal of the American Mathematical Society,4.87
Circulation: Heart Failure,4.87
Current Opinion in Environmental Sustainability,4.87
Journal of Product Innovation Management,4.86
Cancer,4.86
Psychoneuroendocrinology,4.86
Child Development,4.86
Molecular Pharmaceutics,4.86
Proceedings of the Annual ACM Symposium on Theory of Computing,4.86
Translational Psychiatry,4.86
ACS Synthetic Biology,4.86
Translational Neurodegeneration,4.86
Geochmica et Cosmochimica Acta,4.85
Drug Metabolism Reviews,4.85
Journal of Colloid and Interface Science,4.85
Clinical Child and Family Psychology Review,4.85
Neurorehabilitation and Neural Repair,4.85
